M,11779,29321,93649,1300312,2469,1071,4459,6299,586,1506
B,18631,16772,126232,657973,1659,1230,4179,5549,678,1734
B,11221,29886,120610,1302758,2519,2485,5281,6633,748,1999
M,14418,29200,101041,1384419,2519,1545,3802,4359,527,1778
B,20089,27558,99301,917233,2107,1986,2447,1845,693,1499
B,17767,24237,87102,495760,1823,1786,3284,4945,975,757
B,18352,26679,104118,645587,1930,2613,3194,3434,777,1464
M,13529,30112,107528,1492440,2686,2096,3917,3993,236,2275
M,11860,27936,109306,836920,2078,2253,5116,7334,795,1554
B,23298,13376,136187,1119384,1258,1649,3131,2962,472,2104
B,12996,25689,128017,594129,1883,1504,5116,6264,654,2150
B,11529,22728,147636,422759,1791,1887,6119,7764,574,2573
B,24236,18758,92915,292320,1786,1271,1812,1994,743,958
M,19493,15139,122930,921559,1479,1195,4241,6318,963,1260
M,13933,31758,96038,1786949,3123,3302,3596,3862,393,1875
M,22333,15018,109559,900883,1483,1828,3223,4829,1100,823
B,15729,26704,73443,731215,1973,1915,2968,4366,439,1105
B,25752,13741,109111,984887,1368,1489,2115,2408,814,1094
M,16891,26770,99868,905715,2061,2523,3026,2847,253,1973
B,14529,29830,74272,1484073,2652,1793,3047,4048,364,1324
M,9945,28569,112771,1037015,2236,1682,5611,8005,805,1688
B,15148,25327,103898,551582,1859,2360,4366,6317,1034,1119
M,27522,14633,119627,917959,1455,3110,1810,1136,763,1409
M,23323,23198,62969,401652,1791,2311,1059,1389,662,490
M,19685,18908,94603,288614,1786,2151,3332,5419,981,705
B,12144,29398,122440,1346415,2509,1968,5159,6346,864,1916
B,20733,16246,142102,506881,1706,1649,4219,4986,1040,1726
M,17646,22820,120379,380178,1785,1627,3696,3894,378,2142
B,24896,19141,88002,452698,1759,2095,1568,1815,746,814
M,15756,13111,188500,1196575,1188,1196,6732,8269,907,2842
M,27352,12165,132328,1293055,1043,1759,2190,1458,668,1743
B,16411,27569,86751,1101800,2211,1166,2943,3452,321,1574
M,15266,28926,107617,1165686,2345,2591,3631,3606,382,2077
B,21422,16493,139325,616572,1667,1828,3556,3456,413,2305
M,16819,27072,122861,709925,1974,1702,4162,4551,1039,1661
M,12123,24766,119627,551155,1848,2334,5304,7312,720,1831
B,26612,17805,84690,516212,1727,2653,1113,1234,684,728
M,22636,25377,49252,762935,1939,1603,967,1837,814,50
M,19169,24878,106342,502379,1834,1841,2800,2422,342,1927
B,26057,16051,93033,676746,1630,1350,1584,1960,796,776
M,20708,15620,116809,462968,1718,2155,3677,5178,1049,1113
M,15898,25810,125271,536517,1862,1402,4509,5289,991,1726
M,17988,13005,171060,1444084,1008,1224,5718,7097,773,2527
B,23097,27338,78153,810962,2038,712,1126,201,543,1114
M,17770,24010,114838,441874,1806,2805,3858,4660,945,1457
B,24609,15663,91141,819969,1553,963,1965,2923,805,710
M,14136,27408,123470,1013132,2152,1313,4645,5232,828,1961
M,24923,16397,126345,667031,1645,1301,2517,1995,776,1644
B,16063,18595,116951,497727,1744,1429,4550,6639,632,1613
M,21376,26574,56429,875194,2037,1107,1285,1855,733,377
M,22633,24116,60146,466983,1814,2745,1177,1695,759,363
M,22229,15390,105415,616424,1640,1790,2498,2952,261,1648
B,18950,28194,97975,1124387,2267,1181,2754,2517,814,1373
B,9306,25094,156837,408989,1804,2928,6854,8609,691,2757
B,6981,30145,156786,1180726,2444,1550,7283,9013,843,2770
M,16515,32053,88310,1741109,3117,3252,2717,2406,365,1712
M,14168,25884,95358,556710,1871,2503,4180,6161,688,1292
B,17696,11615,150374,1560261,780,2058,5386,7604,735,2035
M,17655,24697,105668,428198,1808,1464,3221,3422,321,1912
M,27564,12244,123560,1401453,968,1613,2013,1611,758,1434
M,10556,33440,114001,2501000,4099,1575,5320,6728,1156,1571
B,17901,27781,98722,1153456,2255,945,2999,3001,686,1508
M,24988,16358,116795,526653,1700,1500,2198,1750,657,1546
M,24336,25535,51639,727771,1931,1406,553,796,837,94
M,23088,13300,111934,1064504,1290,1148,3110,4628,997,925
M,20211,11859,146368,1309586,1005,1995,4693,6266,992,1726
B,9827,28710,145767,1173999,2335,1500,6208,7281,735,2610
B,20765,28521,84383,1134374,2295,1715,1894,1330,746,1131
M,16822,26370,126146,725249,1958,1973,4349,4918,1132,1613
B,16973,19518,153945,469409,1760,1473,5381,6546,1110,2031
M,10207,26422,115550,739444,1967,2045,5527,7696,619,1918
M,22379,13553,103688,1057360,1311,1613,2654,3739,362,1409
M,25586,12223,147360,1598108,816,1121,3131,2793,814,1933
B,16152,18734,122659,443595,1756,2429,4780,6837,907,1496
M,26772,11371,134859,1622627,703,2509,2475,2053,686,1753
B,15213,27378,78619,810799,2039,2368,3281,4818,501,1155
B,14028,27718,95413,724949,2004,536,4178,5945,842,1215
M,25803,18111,103248,458742,1747,1054,1611,1013,740,1207
B,24516,15060,108477,899317,1486,2360,2268,2642,583,1327
M,22043,16954,86742,424827,1746,2445,2179,3235,384,1100
B,18495,24810,68716,580698,1859,2702,2245,3356,401,942
M,17275,24736,121234,445193,1814,1988,4292,5285,1254,1318
B,20170,19203,128663,521862,1748,2112,3280,2899,182,2418
B,19407,15097,166056,861885,1507,2198,5232,6047,1123,2172
M,24258,10560,142405,1590056,642,1657,3359,3611,682,1916
M,20593,28707,56625,962203,2194,2474,1444,2044,765,394
B,21686,15841,122794,676999,1624,1467,3026,3092,329,2020
M,22893,16013,132168,513468,1700,2412,3087,2811,640,1934
B,19112,23520,79450,364770,1785,3291,2404,3322,376,1163
B,18744,10034,149894,2150201,53,2437,5103,7168,595,2108
B,19107,18858,123222,363147,1773,2559,3546,3859,277,2171
B,21544,27646,84438,888221,2095,2413,1716,1134,601,1210
M,12247,31764,106722,2066806,3383,1719,4696,5916,987,1511
B,17095,24697,99963,411053,1803,2136,3773,5355,972,1053
B,25137,15136,94484,694296,1594,683,1846,2414,784,830
B,15796,25343,78341,732738,1926,1606,3114,4561,395,1219
M,22291,14257,128762,978691,1401,1707,3704,4925,1103,1253
M,16060,15145,158332,718795,1582,2020,5650,7168,614,2504
B,22269,19336,86186,374697,1772,2288,2114,2893,675,890
M,13605,23916,124594,425242,1801,2302,5316,7453,963,1617
B,14250,16429,138807,642699,1655,1706,5657,8126,600,2080
B,15342,27784,84373,1034468,2186,1364,3745,5686,1122,674
M,23188,13113,114707,1050123,1288,1679,3199,4697,1089,899
M,26313,16263,118182,654936,1646,1360,1983,1342,764,1444
B,21787,12095,149976,1418585,941,1298,3936,4157,431,2409
M,17618,13995,173969,1054589,1340,2117,5845,7044,891,2540
B,18123,25380,78628,676326,1907,2363,3008,4713,1100,469
B,20469,14447,146731,1012578,1392,1758,4657,6050,1193,1587
M,15945,25379,128420,640609,1893,1880,4573,5251,1015,1781
M,17939,27638,102692,859120,2078,1758,2946,2681,393,1868
B,13905,17089,136729,659018,1667,2800,5566,7886,471,2194
M,14065,18599,168309,379522,1768,1186,6317,7700,826,2657
B,16656,15815,167908,746759,1592,1985,5884,7196,985,2384
B,21608,27187,85198,766963,2008,2552,1764,1226,675,1152
M,24911,16158,121299,741070,1607,2669,2415,2108,718,1559
M,15486,27773,109343,841353,2073,1455,3749,3989,433,2006
M,19686,19602,116615,382000,1772,1467,3859,5337,1124,1111
B,23618,18475,88438,463943,1749,1838,1973,2734,762,787
M,16541,14451,165913,924009,1443,1356,5731,6976,672,2622
B,22660,16620,139336,648510,1658,2178,3711,4126,1120,1563
M,14350,22413,120873,325534,1777,1948,4964,6887,826,1656
B,17364,24888,93729,475559,1825,2455,3574,5227,1037,855
M,20234,27910,49762,1049208,2203,2390,1400,2361,734,246
M,20336,25817,67175,630655,1901,2338,1863,2670,687,631
M,13972,25481,132367,693792,1916,2178,5325,6803,1123,1732
M,20766,25821,55653,781226,1963,2200,1435,2288,650,413
M,23810,26490,48872,740533,1970,2042,427,434,651,267
